TechCSV1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#separator;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#multiwellfile;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#DatasetType;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ContinuFile;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#VariableType;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wellname;datasetname;Variable;Variable;Variable;Variable;;;;Variable;Variable;Variable;Variable;;;;;;;;;;;;;;;;
#VariableName;;m;ohm * m;gAPI;g / cm3;mc sec / m;mc sec / m;mc sec / m;mm;m3/m3;v/v;mD;;;;;;;;;;;;;;;;
wellName;datasetName;DEPTH;RESISTIVITY;GAMMA RAY;DENSITY LOG;SONIC LOG P-WAVE;SONIC LOG S- WAVE;SONIC LOG;CALIPER;NEUTRON LOG;TOTAL POROSITY ;TOTAL PERMEABILIITY;;;;;;;;;;;;;;;;
171;171;-2726,58123;19,0128;70,3795;2,3372;;;;0,2201;0,2132;0,1948;30,3813;;;;;;;;;;;;;;;;
171;171;-2726,565777;19,0553;68,7448;2,3384;;;;0,2196;0,2164;0,1963;26,97;;;;;;;;;;;;;;;;
171;171;-2726,550323;19,0486;66,4647;2,3367;;;;0,2199;0,2204;0,1983;24,7319;;;;;;;;;;;;;;;;
171;171;-2726,534869;18,9951;63,5787;2,3324;;;;0,2208;0,2251;0,2008;23,6153;;;;;;;;;;;;;;;;
171;171;-2726,519416;18,9496;66,1134;2,3304;;;;0,2209;0,2257;0,2023;23,9928;;;;;;;;;;;;;;;;
171;171;-2726,503962;18,8738;68,2345;2,328;;;;0,2209;0,2251;0,2031;25,1283;;;;;;;;;;;;;;;;
171;171;-2726,488508;18,7624;69,8043;2,325;;;;0,2207;0,2232;0,2031;27,1191;;;;;;;;;;;;;;;;
171;171;-2726,473055;18,7503;71,0919;2,323;;;;0,2205;0,2231;0,2033;29,0819;;;;;;;;;;;;;;;;
171;171;-2726,457601;18,6833;71,3121;2,3218;;;;0,2203;0,2238;0,2036;30,1781;;;;;;;;;;;;;;;;
171;171;-2726,442147;18,5295;70,063;2,3216;;;;0,2202;0,2253;0,2043;30,0624;;;;;;;;;;;;;;;;
171;171;-2726,426694;18,4448;70,0166;2,3218;;;;0,2202;0,2257;0,2045;29,8724;;;;;;;;;;;;;;;;
171;171;-2726,41124;18,3759;70,1603;2,322;;;;0,2202;0,2246;0,2043;30,6971;;;;;;;;;;;;;;;;
171;171;-2726,395786;18,3194;70,381;2,3224;;;;0,2203;0,2212;0,2035;33,2734;;;;;;;;;;;;;;;;
171;171;-2726,380332;18,1692;70,8;2,3213;;;;0,2199;0,2176;0,2026;37,6788;;;;;;;;;;;;;;;;
171;171;-2726,364879;18,05;71,2404;2,3206;;;;0,2195;0,2155;0,2018;41,1244;;;;;;;;;;;;;;;;
171;171;-2726,349425;18,0344;71,6434;2,3212;;;;0,2194;0,217;0,2016;41,8044;;;;;;;;;;;;;;;;
171;171;-2726,333971;17,9867;70,907;2,3225;;;;0,2196;0,2179;0,2016;40,0006;;;;;;;;;;;;;;;;
171;171;-2726,318518;17,9141;70,5105;2,3233;;;;0,2198;0,2185;0,2016;38,103;;;;;;;;;;;;;;;;
171;171;-2726,303064;17,7982;71,8103;2,3222;;;;0,2197;0,2181;0,2013;37,6544;;;;;;;;;;;;;;;;
171;171;-2726,28761;17,7239;72,1056;2,3246;;;;0,2194;0,2162;0,2002;37,4124;;;;;;;;;;;;;;;;
171;171;-2726,272157;17,6778;72,4817;2,328;;;;0,2192;0,2138;0,1987;36,9759;;;;;;;;;;;;;;;;
171;171;-2726,256703;17,6798;74,3217;2,3308;;;;0,219;0,2116;0,1968;35,6199;;;;;;;;;;;;;;;;
171;171;-2726,241249;17,6318;74,0011;2,3334;;;;0,2188;0,212;0,1957;34,0629;;;;;;;;;;;;;;;;
171;171;-2726,225796;17,5774;73,1768;2,3346;;;;0,2186;0,2129;0,1952;32,9936;;;;;;;;;;;;;;;;
171;171;-2726,210342;17,592;74,3417;2,3298;;;;0,2185;0,2108;0,1961;34,6037;;;;;;;;;;;;;;;;
171;171;-2726,194888;17,5827;74,1958;2,3248;;;;0,2185;0,2157;0,1982;35,0086;;;;;;;;;;;;;;;;
171;171;-2726,179435;17,5646;73,5537;2,3203;;;;0,2185;0,2233;0,201;34,3221;;;;;;;;;;;;;;;;
171;171;-2726,163981;17,5746;74,2965;2,3197;;;;0,2183;0,2248;0,2031;30,6353;;;;;;;;;;;;;;;;
171;171;-2726,148527;17,5336;74,6809;2,3215;;;;0,2182;0,2277;0,2038;27,3843;;;;;;;;;;;;;;;;
171;171;-2726,133074;17,4644;74,7479;2,3246;;;;0,2181;0,2303;0,2034;25,0045;;;;;;;;;;;;;;;;
171;171;-2726,11762;17,4585;73,8703;2,3265;;;;0,2184;0,22;0,2016;29,2756;;;;;;;;;;;;;;;;
171;171;-2726,102166;17,4532;72,597;2,3241;;;;0,2183;0,2132;0,2003;38,4055;;;;;;;;;;;;;;;;
171;171;-2726,086713;17,4493;71,0285;2,3185;;;;0,2178;0,2092;0,1995;51,2487;;;;;;;;;;;;;;;;
171;171;-2726,071259;17,4816;70,2024;2,3179;;;;0,2179;0,2088;0,1998;59,2766;;;;;;;;;;;;;;;;
171;171;-2726,055805;17,5044;70,3546;2,3203;;;;0,218;0,2085;0,1992;60,1925;;;;;;;;;;;;;;;;
171;171;-2726,040352;17,518;71,4531;2,3257;;;;0,2183;0,2082;0,1977;54,2231;;;;;;;;;;;;;;;;
171;171;-2726,024898;17,5292;73,3049;2,3331;;;;0,2181;0,2077;0,1953;44,79;;;;;;;;;;;;;;;;
171;171;-2726,009444;17,527;73,7552;2,3368;;;;0,2182;0,2077;0,1938;38,3743;;;;;;;;;;;;;;;;
171;171;-2725,99399;17,5092;72,5397;2,3359;;;;0,2184;0,2083;0,1935;35,573;;;;;;;;;;;;;;;;
171;171;-2725,978537;17,5113;73,4247;2,3288;;;;0,219;0,2123;0,1959;35,3533;;;;;;;;;;;;;;;;
171;171;-2725,963083;17,5187;74,2359;2,3249;;;;0,2193;0,2184;0,1985;32,9456;;;;;;;;;;;;;;;;
171;171;-2725,947629;17,5321;74,7376;2,3262;;;;0,2191;0,2274;0,201;27,1493;;;;;;;;;;;;;;;;
171;171;-2725,932176;17,5374;74,8858;2,3269;;;;0,2192;0,2274;0,2017;22,9519;;;;;;;;;;;;;;;;
