TechCSV1.0;;;;;;;;;;;;
#separator;;;;;;;;;;;;
;;;;;;;;;;;;
#multiwellfile;;;;;;;;;;;;
yes;;;;;;;;;;;;
#DatasetType;;;;;;;;;;;;
ContinuFile;;;;;;;;;;;;
#VariableType;;;;;;;;;;;;
wellname;datasetname;Variable;Variable;Variable;Variable;Variable;Variable;Variable;Variable;Variable;Variable;Variable
#VariableName;;m;ohm * m;gAPI;g / cm3;mc sec / m;mc sec / m;mc sec / m;mm;m3/m3;v/v;mD
wellName;datasetName;DEPTH;RESISTIVITY;GAMMA RAY;DENSITY LOG;SONIC LOG P-WAVE;SONIC LOG S- WAVE;SONIC LOG;CALIPER;NEUTRON LOG;TOTAL POROSITY ;TOTAL PERMEABILIITY
170;170;-2791,512558;18,136;75,2104;2,4571;249,68;434,44;714,16;219,7944;0,2913;0,1639;0,0561
170;170;-2791,454785;20,254;77,1926;2,4552;249,16;433,66;714,01;222,0626;0,2829;0,1629;0,0603
170;170;-2791,397013;20,6319;77,4758;2,4645;248,56;433,3;714,04;224,0413;0,2801;0,1603;0,0559
170;170;-2791,33924;20,7187;77,2677;2,4768;247,97;433,18;714,11;225,4464;0,2786;0,1567;0,048
170;170;-2791,281468;21,146;76,8027;2,4907;247,44;433,37;714,17;225,6261;0,2771;0,1522;0,0369
170;170;-2791,223695;21,4314;76,0578;2,5019;247,07;433,74;714,12;225,3213;0,2802;0,1481;0,0268
170;170;-2791,165923;21,6639;75,7238;2,5108;246,82;434,18;713,93;225,0427;0,2835;0,1449;0,0201
170;170;-2791,108151;21,862;76,9334;2,5148;246,73;434,63;713,68;225,3026;0,2829;0,1439;0,0173
170;170;-2791,050378;21,7965;77,5349;2,5107;246,73;435;713,38;224,5314;0,2833;0,1456;0,0184
170;170;-2790,992606;21,5457;78,1547;2,5037;246,8;435,28;713,14;223,537;0,2834;0,1485;0,0216
170;170;-2790,934833;20,9601;79,8068;2,4978;246,95;435,34;712,96;223,2765;0,2807;0,153;0,0281
170;170;-2790,877061;20,9692;79,73;2,4909;247,14;435,17;712,89;223,7401;0,2811;0,1567;0,0352
170;170;-2790,819289;21,2075;78,8799;2,4845;247,33;434,87;712,91;224,5621;0,2826;0,1597;0,0426
170;170;-2790,761516;21,0954;78,4742;2,4833;247,49;434,41;713;225,3972;0,2809;0,1596;0,0467
170;170;-2790,703744;21,0431;77,4999;2,4845;247,61;433,99;713,19;226,77;0,2778;0,1579;0,0483
170;170;-2790,645971;21,0263;76,2994;2,4875;247,7;433,59;713,37;228,2311;0,2741;0,1552;0,0474
170;170;-2790,588199;21,0062;76,1322;2,495;247,78;433,27;713,53;227,5712;0,2743;0,1519;0,0397
170;170;-2790,530427;21,3585;75,9423;2,5028;247,86;433,01;713,56;226,8625;0,2762;0,1493;0,0319
170;170;-2790,472654;21,9769;75,6787;2,5105;247,95;432,82;713,5;226,1522;0,2796;0,1474;0,025
170;170;-2790,414882;22,2074;74,3531;2,5155;248,03;432,91;713,37;226,0473;0,2878;0,147;0,0206
170;170;-2790,357109;21,797;73,7111;2,5172;248,12;433,19;713,25;225,6298;0,2916;0,1471;0,0192
170;170;-2790,299337;20,8486;73,6757;2,5159;248,21;433,65;713,23;224,9301;0,2913;0,1478;0,0201
170;170;-2790,241565;22,0402;73,1875;2,5102;248,33;434,19;713,35;223,8541;0,2874;0,1501;0,0258
170;170;-2790,183792;22,4316;73,2728;2,5022;248,49;434,65;713,86;222,6419;0,2857;0,1532;0,0327
170;170;-2790,12602;21,9089;73,9821;2,4915;248,7;435,01;714,58;221,2755;0,2863;0,1569;0,0408
170;170;-2790,068247;21,5409;74,486;2,4861;248,97;435,21;715,54;223,4669;0,2871;0,16;0,0455
170;170;-2790,010475;21,4817;74,8349;2,4829;249,25;435,38;716,7;224,6368;0,2891;0,1624;0,0479
170;170;-2789,952703;21,8187;74,9907;2,4822;249,51;435,51;717,94;224,239;0,2926;0,164;0,0471
170;170;-2789,89493;21,3547;75,7301;2,4832;249,7;435,71;719,27;223,7111;0,2937;0,1644;0,046
