TechCSV1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#separator;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#multiwellfile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#DatasetType;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ContinuFile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#VariableType;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wellname;datasetname;Variable;Variable;Variable;Variable;;;;Variable;Variable;Variable;Variable;;;;;;;;;;;;;;;;;;
#VariableName;;m;ohm * m;gAPI;g / cm3;mc sec / m;mc sec / m;mc sec / m;mm;m3/m3;v/v;mD;;;;;;;;;;;;;;;;;;
wellName;datasetName;DEPTH;RESISTIVITY;GAMMA RAY;DENSITY LOG;SONIC LOG P-WAVE;SONIC LOG S- WAVE;SONIC LOG;CALIPER;NEUTRON LOG;TOTAL POROSITY ;TOTAL PERMEABILIITY;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2773,7731;16,3627;70,5008;-9999;;;;-9999;-9999;-9999;-9999;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2773,730108;16,4603;70,2385;-9999;;;;-9999;-9999;-9999;-9999;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2773,687116;16,6255;70,2385;-9999;;;;-9999;-9999;-9999;-9999;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2773,644124;16,7608;70,2385;-9999;;;;-9999;-9999;-9999;-9999;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2773,601132;16,552;69,7893;-9999;;;;-9999;-9999;-9999;-9999;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2773,558141;16,053;68,9271;2,4253;;;;163,9889;-9999;-9999;-9999;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2773,515149;16,1829;66,4173;2,4379;;;;163,4921;-9999;-9999;-9999;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2773,472157;16,0422;64,9257;2,4429;;;;163,1377;-9999;-9999;-9999;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2773,429165;15,6175;64,5068;2,4398;;;;162,9327;-9999;-9999;-9999;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2773,386173;15,6022;64,0878;2,4448;;;;162,6061;-9999;-9999;-9999;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2773,343181;15,6764;64,0386;2,4463;;;;162,3957;-9999;-9999;-9999;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2773,300189;15,845;64,4565;2,4431;;;;162,339;-9999;-9999;-9999;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2773,257197;15,8592;64,8755;2,4453;;;;161,9031;-9999;-9999;-9999;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2773,214205;15,8423;64,8017;2,4483;;;;161,522;-9999;-9999;-9999;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2773,171213;15,7994;63,9638;2,4517;;;;161,2801;-9999;-9999;-9999;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2773,128222;15,7037;63,1279;2,4583;;;;161,7375;-9999;-9999;-9999;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2773,08523;15,6378;63,1526;2,4643;;;;162,3262;-9999;-9999;-9999;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2773,042238;15,6442;64,8285;2,4682;;;;162,9626;-9999;-9999;-9999;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2772,999246;15,6454;66,5045;2,4644;;;;163,5281;0,3317;-9999;-9999;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2772,956254;15,6753;67,5603;2,4615;;;;163,8593;0,3375;0,1522;0,1025;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2772,913262;15,7764;67,1413;2,4646;;;;163,6702;0,3405;0,1541;0,1062;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2772,87027;15,7545;66,7224;2,465;;;;163,3565;0,3434;0,1566;0,1145;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2772,827278;15,5932;66,8749;2,4635;;;;163,1234;0,3453;0,1585;0,1192;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2772,784286;15,1195;68,7603;2,4583;;;;163,2468;0,3447;0,1584;0,1085;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2772,741295;15,1297;69,8874;2,4463;;;;163,0712;0,3448;0,1606;0,1162;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2772,698303;15,3375;70,6407;2,4352;;;;162,8243;0,3472;0,164;0,1264;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2772,655311;15,5979;71,0605;2,4383;;;;162,7484;0,3569;0,1689;0,1142;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2772,612319;15,4895;71,3379;2,4398;;;;162,6757;0,3611;0,1711;0,1084;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2772,569327;15,2753;71,4518;2,4418;;;;162,5801;0,3618;0,1718;0,1103;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2772,526335;15,4574;71,0329;2,4511;;;;162,3477;0,3586;0,1707;0,1196;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2772,483343;15,3706;70,6136;2,451;;;;162,0669;0,3523;0,168;0,1329;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2772,440351;15,1372;70,0642;2,4476;;;;161,6928;0,3449;0,165;0,1518;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2772,397359;15,015;68,3882;2,4631;;;;160,7621;0,3443;0,1668;0,1924;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2772,354368;15,0613;67,1983;2,464;;;;160,4679;0,3498;0,169;0,1906;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2772,311376;15,2204;66,3603;2,455;;;;160,6477;0,3594;0,1714;0,1587;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2772,268384;15,2204;65,5224;2,4588;;;;161,0504;0,3626;0,1712;0,1453;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2772,225392;15,0269;64,6844;2,4539;;;;161,3706;0,3651;0,1728;0,1519;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2772,1824;14,6676;63,8632;2,4415;;;;161,6181;0,367;0,1759;0,1783;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2772,139408;14,8521;65,1202;2,4383;;;;161,8439;0,3588;0,1721;0,1824;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2772,096416;15,1198;66,3771;2,4322;;;;162,0804;0,3544;0,1709;0,1878;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2772,053424;15,4763;67,6312;2,4229;;;;162,3286;0,3543;0,1728;0,1959;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2772,010432;14,9473;67,6843;2,4226;;;;162,7751;0,3423;0,168;0,2326;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2771,96744;14,6756;66,6796;2,4211;;;;163,0338;0,3342;0,1663;0,3054;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2771,924449;14,7843;64,3752;2,4179;;;;163,039;0,3319;0,1692;0,4556;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2771,881457;14,5474;62,4529;2,4048;;;;162,2622;0,3251;0,1703;0,7238;;;;;;;;;;;;;;;;;;
